User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Decade,Age,Country,Avg_Book_Rating,Avg_User_Rating,High_Rating,Country_Encoded
276725,034545104X,0,Flesh Tones: A Novel,M. J. Rose,2000,32,usa,2.933333333,0,0,375
276726,155061224,5,Rites of Passage,Judith Rae,2000,32,usa,2.5,5,0,375
276727,446520802,0,The Notebook,Nicholas Sparks,1990,16,australia,4.060344828,0,0,30
276729,052165615X,3,Help!: Level 1,Philip Prowse,1990,16,croatia,3,4.5,0,86
276729,521795028,6,The Amsterdam Connection : Level 4 (Cambridge English Readers),Sue Leather,2000,16,croatia,6,4.5,0,86
276733,2080674722,0,Les Particules Elementaires,Michel Houellebecq,1990,37,france,3.666666667,0,0,120
276744,038550120X,7,A Painted House,JOHN GRISHAM,2000,32,usa,3.336956522,7,1,375
276746,425115801,0,Lightning,Dean R. Koontz,1990,32,,2.529850746,0,0,0
276746,449006522,0,Manhattan Hunt Club,JOHN SAUL,2000,32,,3.504504505,0,0,0
276746,553561618,0,Dark Paradise,TAMI HOAG,1990,32,,2.153284672,0,0,0
276746,055356451X,0,Night Sins,TAMI HOAG,1990,32,,2.623529412,0,0,0
276746,786013990,0,At the Edge,David Dun,2000,32,,3.285714286,0,0,0
276746,786014512,0,Make Them Cry,Kevin O'Brien,2000,32,,0,0,0,0
276747,60517794,9,Little Altars Everywhere,Rebecca Wells,2000,25,usa,3.636363636,5,1,375
276747,451192001,0,How Stella Got Her Groove Back,Terry McMillan,1990,25,usa,1.872093023,5,0,375
276747,609801279,0,The Law of Love,Laura Esquivel,1990,25,usa,1.818181818,5,0,375
276747,671537458,9,Waiting to Exhale,Terry McMillan,1990,25,usa,1.386363636,5,1,375
276747,679776818,8,Birdsong: A Novel of Love and War,Sebastian Faulks,1990,25,usa,3.340425532,5,1,375
276747,943066433,7,How to Deal With Difficult People,Rick Brinkman,1990,25,usa,7,5,1,375
276747,1570231028,0,"Change Your Job, Change Your Life: High Impact Strategies for Finding Great Jobs in the Decade Ahead (Change Your Job Change Your Life, 7th ed)",Ronald L. Krannich,1990,25,usa,0,5,0,375
